,clust_num,clust_terms,percent_in_doc
0,0,bank | customer | account | banking | branch | bsnl | deposit | payment | note | cash | mobile | atm | service | money | currency | transaction | rbi | facility | india | company | digital | manager | exchange | business | financial_inclusion | kyc | district | machine | aadhaar | loan | bank_account | offer | village | rural | provide | credit | post_office | country | indian | open | ,5.93
1,1,aadhaar | uidai | aadhaar_number | link | issue | mandatory | government | detail | supreme_court | bench | state | data | aadhaar_card | privacy | card | service | court | npr | authority | enrolment | resident | centre | person | order | number | petition | scheme | public | unique_identification_authority_india | individual | insist | system | department | smart_card | benefit | direct | pan | justice | right_privacy | identity | ,10.14
2,2,scheme | beneficiary | district | farmer | government | pension | bank | state | bank_account | loan | account | programme | launch | subsidy | system | minister | aadhaar | crop | benefit | chief_minister | direct | seed | family | implement | department | implementation | meeting | provide | household | delhi | payment | aadhaar_number | ensure | eligible | ration_card | link | village | aadhaar_card | issue | cover | ,13.47
3,3,bill | government | party | worker | congress | state | cpi | money_bill | scheme | minister | labour | system | rajya_sabha | power | amendment | house | work | chief_minister | price | employer | member | lok_sabha | aadhaar | payment | opposition | employee | provide | demand | issue | leader | centre | act | aadhaar_card | protest | tax | fund | wage | supply | link | department | ,10.21
4,4,police | arrest | document | passport | aadhaar_card | accuse | case | person | alleged | fake | police_station | house | verification | crime | victim | register | complaint | city | agent | investigation | certificate | woman | officer | detail | district | work | agency | duo | proof | process | submit | incident | card | kill | obtain | claimed | minor | branch | application | verify | ,4.9
5,5,voter | election | electoral_roll | vote | epic | voter_list | booth | polling | constituency | election_commission | officer | voting | polling_station | electoral | district | assembly | aadhaar_card | voter_id_card | aadhaar | card | seed | link | poll | chief | exercise | commissioner | state | candidate | visit | issue | number | electoral_officer | delete | process | slip | aadhaar_number | detail | photo | conduct | complete | ,4.48
6,6,road | college | association | nagar | bus | department | camp | resident | colony | traffic | art | office | public | street | woman | job | water | club | sport | pudukottai | st | photograph | engineering | aadhaar_card | programme | union | speaks | area | railway | special | district_administration | near | district | school | temple | festival | hospital | meeting | university | ground | ,5.89
7,7,child | train | railway | woman | work | family | hospital | girl | boy | foundation | home | school | parent | city | village | waste | volunteer | passenger | survey | like | district | food | conduct | help | health | fire | ngo | area | government | senior | social | baby | member | aadhaar_card | provide | mother | final | express | team | ticket | ,6.47
8,8,india | government | indian | country | world | company | aadhaar | like | data | technology | state | project | work | sector | growth | budget | city | service | right | well | social | policy | national | film | report | development | prime_minister | issue | airport | public | create | modi | system | security | industry | digital | information | part | economy | million | ,11.59
9,9,student | school | scholarship | education | child | aadhaar | enrolment | aadhaar_card | college | camp | teacher | government | class | direct | district | department | state | enrol | parent | apply | mandatory | scheme | aadhaar_number | educational | admission | conduct | centre | benefit | examination | work | issue | link | ensure | principal | resident | government_school | university | number | officer | system | ,4.51
10,10,consumer | lpg | cylinder | subsidy | bank_account | link | district | distributor | oil_company | aadhaar_number | aadhaar_card | bank | petroleum | direct_benefit_transfer | price | gas | gas_agency | scheme | refill | lpg_subsidy | market_price | customer | subsidy_amount | lpg_dealer | linkage | aadhaar | lpg_cylinder | seed | direct_benefit_transfer_scheme | domestic | cooking_gas | subsidise | government | account | dealer | receive | lpg_connection | oil | state | connection | ,5.74
11,11,centre | registration | aadhaar_card | card | post_office | district | resident | office | enrolment | register | ward | applicant | certificate | number | issue | corporation | detail | enrol | pensioner | submit | city | camp | application | akshaya | ration_card | release | collector | process | aadhaar | public | press_release | cable | obtain | vehicle | apply | taluk_office | form | complete | person | open | ,16.68
