,topic,topic_name
0,0,Topic 0: bank account customer payment banking cash transaction note money branch bank_account atm rbi deposit currency machine mobile financial_inclusion open transfer
1,1,Topic 1: sector india company business job industry country growth market high million indian cost expect provide add infrastructure opportunity create product
2,2,Topic 2: farmer state demand loan price centre scheme party cpi crop state_government minister agriculture land protest decision secretary supply increase issue
3,3,Topic 3: supreme_court mandatory court order issue bench petition privacy direct aadhaar_number person file justice right_privacy case pan act authority scheme benefit
4,4,Topic 4: like right problem issue report money public part well fact social think indian india work different mean case several reason
5,5,Topic 5: scheme beneficiary state benefit food system poor subsidy provide household family delhi programme ensure cover national food_security cash_transfer foodgrains implementation
6,6,Topic 6: district card department centre meeting complete ration_card issue state direct programme link collector officer minister seed distribution public ensure work
7,7,Topic 7: india country world indian prime_minister modi work development technology big nation become global poor economy social power state brother policy
8,8,Topic 8: camp college special department programme organise association school office state ward corporation award panchayat member development foundation collector national public
9,9,Topic 9: candidate conduct woman final telangana job sport caste boy examination test group state result national interview post bar match certificate
10,10,Topic 10: house village family area work land housing member survey help property like rent home child living slum labourer local household
11,11,Topic 11: pension worker beneficiary payment scheme work nrega pensioner post_office wage account labour district employment employer panchayat employee welfare office member
12,12,Topic 12: city home start woman tv film cable news hour work good like music run vendor centre change feature back direct
13,13,Topic 13: tax budget increase propose fund fiscal act growth financial provide reform rate investment india sector measure economy expenditure revenue service
14,14,Topic 14: data service system digital online information user detail access department technology launch provide number internet mobile database link work aadhaar_number
15,15,Topic 15: road railway bus train city authority nagar water traffic colony vehicle board area passenger waste resident street near corporation public
16,16,Topic 16: document detail passport centre issue card application registration submit certificate form office register applicant apply number online available verification copy
17,17,Topic 17: student school child education parent health teacher college patient class hospital scholarship university medical private number girl admission department study
18,18,Topic 18: consumer lpg link bank_account subsidy cylinder district aadhaar_number bank direct_benefit_transfer customer gas petroleum scheme oil_company gas_agency supply lpg_cylinder distributor receive
19,19,Topic 19: voter election vote party constituency electoral_roll candidate epic election_commission assembly booth polling voter_list polling_station exercise congress state poll electoral voting
20,20,Topic 20: bill minister amendment parliament member committee issue lok_sabha rajya_sabha house opposition congress mp question pass act party power discussion concern
21,21,Topic 21: police delhi case arrest person award chief_minister woman accuse india national kill mumbai crime city supreme_court charge march court high_court
22,22,Topic 22: uidai enrolment resident project enrol centre data uid unique_identification_authority_india number biometric npr state process card district population agency aadhaar_number aadhaar_enrolment
